Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Maharashtra Cricket Association Stadium,2023-01-05,Sri Lanka,India,8,1,Sri Lanka,206,6,190,8,0,0,India,field
Saurashtra Cricket Association Stadium,2023-01-07,India,Sri Lanka,1,8,India,228,5,137,10,0,0,India,bat
JSCA International Stadium Complex,2023-01-27,New Zealand,India,5,1,New Zealand,176,6,155,9,0,0,India,field
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2023-01-29,New Zealand,India,5,1,India,99,8,101,4,0,0,New Zealand,bat
Narendra Modi Stadium,2023-02-01,India,New Zealand,1,5,India,234,4,66,10,0,0,India,bat
Zahur Ahmed Chowdhury Stadium,2023-03-09,England,Bangladesh,3,9,Bangladesh,156,6,158,4,0,0,Bangladesh,field
Shere Bangla National Stadium,2023-03-12,England,Bangladesh,3,9,Bangladesh,117,10,120,6,0,0,Bangladesh,field
Shere Bangla National Stadium,2023-03-14,Bangladesh,England,9,3,Bangladesh,158,2,142,6,0,0,England,field
Zahur Ahmed Chowdhury Stadium,2023-03-27,Bangladesh,Ireland,9,11,Bangladesh,207,5,81,5,0,0,Ireland,field
Zahur Ahmed Chowdhury Stadium,2023-03-29,Bangladesh,Ireland,9,11,Bangladesh,202,3,125,9,0,0,Ireland,field
Zahur Ahmed Chowdhury Stadium,2023-03-31,Bangladesh,Ireland,9,11,Ireland,124,10,126,3,0,0,Bangladesh,bat
Sharjah Cricket Stadium,2023-03-24,Pakistan,Afghanistan,7,10,Afghanistan,92,9,98,4,0,0,Pakistan,bat
Sharjah Cricket Stadium,2023-03-26,Pakistan,Afghanistan,7,10,Afghanistan,130,6,133,3,0,0,Pakistan,bat
Sharjah Cricket Stadium,2023-03-27,Pakistan,Afghanistan,7,10,Pakistan,182,7,116,11,0,0,Afghanistan,field
Kingsmead,2023-08-30,Australia,South Africa,2,4,Australia,226,6,115,10,0,0,South Africa,field
Kingsmead,2023-09-01,South Africa,Australia,4,2,Australia,164,8,168,2,0,0,Australia,field
Kingsmead,2023-09-03,South Africa,Australia,4,2,Australia,190,8,191,5,0,0,South Africa,bat
Kensington Oval,2023-12-12,England,West Indies,3,6,West Indies,171,10,172,6,0,1,West Indies,field
National Cricket Stadium,2023-12-14,West Indies,England,6,3,West Indies,176,7,166,7,1,0,England,field
National Cricket Stadium,2023-12-16,West Indies,England,6,3,England,222,6,226,3,1,0,England,field
Brian Lara Stadium,2023-12-19,England,West Indies,3,6,England,267,3,192,10,0,1,West Indies,field
Brian Lara Stadium,2023-12-21,England,West Indies,3,6,West Indies,132,10,133,6,0,1,West Indies,field
Bellerive Oval,2024-02-09,Australia,West Indies,2,6,Australia,213,7,202,8,0,1,West Indies,field
Adelaide Oval,2024-02-11,Australia,West Indies,2,6,Australia,241,4,207,9,0,1,West Indies,field
Perth Stadium,2024-02-13,West Indies,Australia,6,2,West Indies,220,6,183,5,1,0,West Indies,bat
Sylhet International Cricket Stadium,2023-07-14,Afghanistan,Bangladesh,10,9,Bangladesh,154,7,157,8,0,0,Bangladesh,field
Sylhet International Cricket Stadium,2023-07-16,Afghanistan,Bangladesh,10,9,Bangladesh,116,7,119,4,0,0,Bangladesh,field
Brian Lara Stadium,2023-08-03,West Indies,India,6,1,West Indies,149,6,145,9,1,0,West Indies,bat
Providence Stadium,2023-08-06,India,West Indies,1,6,West Indies,152,7,155,8,0,1,India,bat
Providence Stadium,2023-08-08,West Indies,India,6,1,India,159,5,164,3,1,0,West Indies,bat
Central Broward Regional Park Stadium Turf Ground,2023-08-12,West Indies,India,6,1,India,178,8,179,1,1,0,West Indies,bat
Central Broward Regional Park Stadium Turf Ground,2023-08-13,India,West Indies,1,6,West Indies,165,9,171,2,0,1,India,bat
Grange Cricket Club Ground,2023-07-28,Scotland,Ireland,13,11,Scotland,213,6,205,9,0,0,Ireland,field
Malahide,2023-08-18,Ireland,India,11,1,India,139,7,47,2,0,0,India,field
Malahide,2023-08-20,India,Ireland,1,11,India,185,5,152,8,0,0,Ireland,field
St George's Park,2023-12-12,India,South Africa,1,4,South Africa,180,7,154,5,0,0,South Africa,field
The Wanderers Stadium,2023-12-14,India,South Africa,1,4,India,201,7,95,10,0,0,South Africa,field
McLean Park,2023-12-27,New Zealand,Bangladesh,5,9,Bangladesh,134,9,137,5,0,0,Bangladesh,field
Bay Oval,2023-12-29,New Zealand,Bangladesh,5,9,,72,2,0,0,0,0,Bangladesh,field
Bay Oval,2023-12-31,Bangladesh,New Zealand,9,5,New Zealand,110,10,95,5,0,0,New Zealand,field
Eden Park,2024-01-12,New Zealand,Pakistan,5,7,New Zealand,226,8,180,10,0,0,Pakistan,field
Seddon Park,2024-01-14,New Zealand,Pakistan,5,7,New Zealand,194,9,173,10,0,0,Pakistan,field
University Oval,2024-01-17,New Zealand,Pakistan,5,7,New Zealand,224,7,179,7,0,0,Pakistan,field
Hagley Oval,2024-01-19,Pakistan,New Zealand,7,5,New Zealand,158,5,159,3,0,0,New Zealand,field
Hagley Oval,2024-01-21,Pakistan,New Zealand,7,5,Pakistan,134,8,92,10,0,0,Pakistan,bat
Sky Stadium,2024-02-21,New Zealand,Australia,5,2,Australia,215,3,216,4,0,0,New Zealand,bat
Eden Park,2024-02-23,Australia,New Zealand,2,5,Australia,174,10,102,9,0,0,New Zealand,field
Eden Park,2024-02-25,Australia,New Zealand,2,5,Australia,118,4,98,3,0,0,New Zealand,field
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2023-11-23,Australia,India,2,1,India,208,3,209,8,0,0,India,field
Greenfield International Stadium,2023-11-26,India,Australia,1,2,India,235,4,191,9,0,0,Australia,field
Barsapara Cricket Stadium,2023-11-28,India,Australia,1,2,Australia,222,3,225,5,0,0,Australia,field
Shaheed Veer Narayan Singh International Stadium,2023-12-01,India,Australia,1,2,India,174,9,154,7,0,0,Australia,field
M Chinnaswamy Stadium,2023-12-03,India,Australia,1,2,India,160,8,154,8,0,0,Australia,field
Punjab Cricket Association IS Bindra Stadium,2024-01-11,Afghanistan,India,10,1,India,158,5,159,4,0,0,India,field
Holkar Cricket Stadium,2024-01-14,Afghanistan,India,10,1,India,172,10,173,4,0,0,India,field
M Chinnaswamy Stadium,2024-01-17,India,Afghanistan,1,10,,239,7,229,9,0,0,India,bat
Zhejiang University of Technology Cricket Field,2023-10-03,India,Nepal,1,17,India,202,4,179,9,0,0,India,bat
Zhejiang University of Technology Cricket Field,2023-10-04,Afghanistan,Sri Lanka,10,8,Afghanistan,116,10,108,10,0,0,Sri Lanka,field
Zhejiang University of Technology Cricket Field,2023-10-06,Bangladesh,India,9,1,India,96,9,97,1,0,0,India,field
Zhejiang University of Technology Cricket Field,2023-10-06,Pakistan,Afghanistan,7,10,Afghanistan,115,10,116,6,0,0,Afghanistan,field
Zhejiang University of Technology Cricket Field,2023-10-07,Pakistan,Bangladesh,7,9,Bangladesh,48,1,65,4,0,0,Bangladesh,field
Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,India,10,1,,112,5,0,0,0,0,India,field
Tribhuvan University International Cricket Ground,2023-11-02,Oman,Nepal,18,17,Oman,145,9,140,10,0,0,Nepal,field
Tribhuvan University International Cricket Ground,2023-11-05,Nepal,Oman,17,18,,194,7,205,9,0,0,Nepal,bat
Wanderers Cricket Ground,2023-11-24,Uganda,Namibia,22,14,Namibia,114,10,116,4,0,0,Namibia,field
Rangiri Dambulla International Stadium,2024-02-17,Sri Lanka,Afghanistan,8,10,Sri Lanka,160,10,156,9,0,0,Afghanistan,field
Rangiri Dambulla International Stadium,2024-02-19,Sri Lanka,Afghanistan,8,10,Sri Lanka,187,6,115,10,0,0,Afghanistan,field
Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Sri Lanka,10,8,Afghanistan,209,5,206,7,0,0,Afghanistan,bat
Sharjah Cricket Stadium,2024-03-15,Ireland,Afghanistan,11,10,Ireland,149,6,111,10,0,0,Afghanistan,field
Sharjah Cricket Stadium,2024-03-17,Afghanistan,Ireland,10,11,Afghanistan,152,9,142,8,0,0,Afghanistan,bat
Sharjah Cricket Stadium,2024-03-18,Afghanistan,Ireland,10,11,Afghanistan,155,7,98,10,0,0,Afghanistan,bat
Sylhet International Cricket Stadium,2024-03-04,Sri Lanka,Bangladesh,8,9,Sri Lanka,206,3,203,8,0,0,Bangladesh,field
Sylhet International Cricket Stadium,2024-03-06,Sri Lanka,Bangladesh,8,9,Bangladesh,165,5,170,2,0,0,Bangladesh,field
Sylhet International Cricket Stadium,2024-03-09,Sri Lanka,Bangladesh,8,9,Sri Lanka,174,7,146,10,0,0,Bangladesh,field
Tribhuvan University International Cricket Ground,2024-02-27,Namibia,Nepal,14,17,Namibia,206,4,186,10,0,0,Namibia,bat
Tribhuvan University International Cricket Ground,2024-02-28,Netherlands,Nepal,15,17,Netherlands,184,4,182,8,0,0,Nepal,field
Tribhuvan University International Cricket Ground,2024-02-29,Netherlands,Namibia,15,14,Netherlands,247,5,188,7,0,0,Netherlands,bat
Tribhuvan University International Cricket Ground,2024-03-01,Nepal,Namibia,17,14,Nepal,180,8,177,7,0,0,Namibia,field
Tribhuvan University International Cricket Ground,2024-03-02,Netherlands,Nepal,15,17,Nepal,120,10,121,4,0,0,Netherlands,bat
Tribhuvan University International Cricket Ground,2024-03-03,Namibia,Netherlands,14,15,,98,4,0,0,0,0,Netherlands,field
Tribhuvan University International Cricket Ground,2024-03-05,Nepal,Netherlands,17,15,Netherlands,184,8,189,6,0,0,Nepal,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-03-06,Papua New Guinea,Oman,20,18,Oman,136,6,137,7,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-03-07,Oman,Papua New Guinea,18,20,Papua New Guinea,145,7,148,2,0,0,Papua New Guinea,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-03-08,Papua New Guinea,Oman,20,18,Oman,127,6,128,6,0,0,Oman,field
Mission Road Ground,2024-03-12,Nepal,Papua New Guinea,17,20,Nepal,198,6,113,10,0,0,Papua New Guinea,field
Mission Road Ground,2024-03-13,Papua New Guinea,Nepal,20,17,Papua New Guinea,171,8,85,10,0,0,Nepal,field
Achimota Senior Secondary School A Field,2024-03-21,Namibia,Uganda,14,22,Namibia,111,7,87,9,0,0,Namibia,bat
Rawalpindi Cricket Stadium,2024-04-18,New Zealand,Pakistan,5,7,,2,1,0,0,0,0,New Zealand,bat
Rawalpindi Cricket Stadium,2024-04-20,New Zealand,Pakistan,5,7,Pakistan,90,10,92,3,0,0,Pakistan,field
Rawalpindi Cricket Stadium,2024-04-21,Pakistan,New Zealand,7,5,New Zealand,178,5,179,3,0,0,New Zealand,field
Gaddafi Stadium,2024-04-25,New Zealand,Pakistan,5,7,New Zealand,178,7,174,8,0,0,Pakistan,field
Gaddafi Stadium,2024-04-27,Pakistan,New Zealand,7,5,Pakistan,178,5,169,10,0,0,New Zealand,field
Prairie View Cricket Complex,2024-04-07,Canada,United States of America,23,19,United States of America,132,10,133,4,0,1,United States of America,field
Prairie View Cricket Complex,2024-04-09,United States of America,Canada,19,23,United States of America,230,3,199,10,1,0,Canada,field
Prairie View Cricket Complex,2024-04-12,United States of America,Canada,19,23,United States of America,159,6,145,6,1,0,Canada,field
Prairie View Cricket Complex,2024-04-13,Canada,United States of America,23,19,United States of America,168,5,169,6,0,1,Canada,bat
Prairie View Cricket Complex,2024-05-21,Bangladesh,United States of America,9,19,United States of America,153,6,156,5,0,1,United States of America,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-01,Oman,Namibia,18,14,Namibia,109,9,114,6,0,0,Namibia,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-02,Oman,Namibia,18,14,Oman,137,7,131,9,0,0,Oman,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-04,Namibia,Oman,14,18,Oman,101,8,104,2,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-05,Namibia,Oman,14,18,Namibia,164,4,140,9,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-07,Namibia,Oman,14,18,Namibia,212,3,150,10,0,0,Namibia,bat
Castle Avenue,2024-05-10,Pakistan,Ireland,7,11,Ireland,182,6,183,5,0,0,Ireland,field
Castle Avenue,2024-05-12,Ireland,Pakistan,11,7,Pakistan,193,7,195,3,0,0,Pakistan,field
Castle Avenue,2024-05-14,Ireland,Pakistan,11,7,Pakistan,178,7,181,4,0,0,Pakistan,field
Sportpark Westvliet,2024-05-18,Netherlands,Scotland,15,13,Netherlands,167,8,126,10,0,0,Scotland,field
Sportpark Westvliet,2024-05-19,Ireland,Netherlands,11,15,Ireland,150,8,149,8,0,0,Netherlands,field
Sportpark Westvliet,2024-05-22,Scotland,Netherlands,13,15,Scotland,158,7,87,10,0,0,Netherlands,field
The Rose Bowl,2005-06-13,England,Australia,3,2,England,179,8,79,10,0,0,England,bat
Eden Park,2005-02-17,New Zealand,Australia,5,2,Australia,170,10,214,5,0,0,Australia,bat
New Wanderers Stadium,2005-10-21,South Africa,New Zealand,4,5,New Zealand,133,10,134,5,0,0,New Zealand,field
County Ground,2006-08-28,England,Pakistan,3,7,Pakistan,144,7,148,5,0,0,England,bat
The Rose Bowl,2006-06-15,England,Sri Lanka,3,8,Sri Lanka,161,5,163,10,0,0,Sri Lanka,bat
Brisbane Cricket Ground,2006-01-09,Australia,South Africa,2,4,Australia,209,3,114,10,0,0,Australia,bat
Eden Park,2006-02-16,New Zealand,West Indies,5,6,,126,8,126,7,0,1,New Zealand,field
New Wanderers Stadium,2006-02-24,South Africa,Australia,4,2,South Africa,201,4,199,7,0,0,South Africa,bat
Sydney Cricket Ground,2007-01-09,Australia,England,2,3,Australia,221,5,144,9,0,0,Australia,bat
Westpac Stadium,2006-12-22,New Zealand,Sri Lanka,5,8,Sri Lanka,162,8,62,1,0,0,New Zealand,bat
Eden Park,2006-12-26,New Zealand,Sri Lanka,5,8,New Zealand,116,5,115,10,0,0,New Zealand,field
New Wanderers Stadium,2006-12-01,South Africa,India,4,1,India,126,9,127,4,0,0,South Africa,bat
Kennington Oval,2007-06-28,England,West Indies,3,6,West Indies,193,7,208,8,0,1,West Indies,bat
Kennington Oval,2007-06-29,England,West Indies,3,6,England,173,5,169,7,0,1,West Indies,bat
New Wanderers Stadium,2007-09-11,South Africa,West Indies,4,6,South Africa,208,2,205,6,0,1,South Africa,field
Kingsmead,2007-09-12,Pakistan,Scotland,7,13,Pakistan,171,9,120,10,0,0,Scotland,field
New Wanderers Stadium,2007-09-13,Bangladesh,West Indies,9,6,Bangladesh,165,4,164,8,0,1,Bangladesh,field
Newlands,2007-09-14,Australia,England,2,3,Australia,136,2,135,10,0,0,England,bat
Kingsmead,2007-09-14,India,Pakistan,1,7,,141,9,141,7,0,0,Pakistan,field
New Wanderers Stadium,2007-09-15,New Zealand,Sri Lanka,5,8,Sri Lanka,164,7,168,3,0,0,New Zealand,bat
Newlands,2007-09-15,South Africa,Bangladesh,4,9,South Africa,146,3,144,10,0,0,South Africa,field
New Wanderers Stadium,2007-09-16,India,New Zealand,1,5,New Zealand,180,9,190,10,0,0,India,field
Newlands,2007-09-16,Australia,Bangladesh,2,9,Australia,124,1,123,8,0,0,Australia,field
Newlands,2007-09-16,South Africa,England,4,3,South Africa,154,8,135,7,0,0,England,field
New Wanderers Stadium,2007-09-17,Pakistan,Sri Lanka,7,8,Pakistan,189,6,156,9,0,0,Sri Lanka,field
Kingsmead,2007-09-18,England,New Zealand,3,5,New Zealand,159,8,164,9,0,0,England,field
New Wanderers Stadium,2007-09-18,Australia,Pakistan,2,7,Pakistan,164,7,165,4,0,0,Pakistan,field
New Wanderers Stadium,2007-09-18,Bangladesh,Sri Lanka,9,8,Sri Lanka,83,10,147,5,0,0,Bangladesh,field
Kingsmead,2007-09-19,South Africa,New Zealand,4,5,South Africa,158,4,153,8,0,0,South Africa,field
Kingsmead,2007-09-19,England,India,3,1,India,200,6,218,4,0,0,India,bat
Newlands,2007-09-20,Australia,Sri Lanka,2,8,Australia,102,0,101,10,0,0,Australia,field
Newlands,2007-09-20,Bangladesh,Pakistan,9,7,Pakistan,140,10,141,6,0,0,Pakistan,field
Kingsmead,2007-09-20,South Africa,India,4,1,India,116,9,153,5,0,0,India,bat
Newlands,2007-09-22,New Zealand,Pakistan,5,7,Pakistan,143,8,147,4,0,0,New Zealand,bat
Kingsmead,2007-09-22,Australia,India,2,1,India,173,7,188,5,0,0,India,bat
New Wanderers Stadium,2007-09-24,India,Pakistan,1,7,India,157,5,152,10,0,0,India,bat
Western Australia Cricket Association Ground,2007-12-11,Australia,New Zealand,2,5,Australia,186,6,132,10,0,0,Australia,bat
Melbourne Cricket Ground,2008-02-01,Australia,India,2,1,Australia,75,1,74,10,0,0,India,bat
Old Trafford,2008-06-13,England,New Zealand,3,5,England,127,1,123,9,0,0,England,field
Brabourne Stadium,2007-10-20,India,Australia,1,2,India,167,3,166,5,0,0,Australia,bat
New Wanderers Stadium,2007-11-23,South Africa,New Zealand,4,5,South Africa,131,7,129,7,0,0,South Africa,field
New Wanderers Stadium,2008-01-18,South Africa,West Indies,4,6,South Africa,134,6,131,7,0,1,South Africa,field
Eden Park,2008-02-05,New Zealand,England,5,3,England,152,10,184,8,0,0,New Zealand,field
Jade Stadium,2008-02-07,New Zealand,England,5,3,England,143,8,193,8,0,0,England,bat
Gymkhana Club Ground,2007-09-02,Bangladesh,Pakistan,9,7,Pakistan,161,7,191,7,0,0,Bangladesh,field
St George's Park,2007-12-16,South Africa,West Indies,4,6,West Indies,58,8,60,5,0,1,West Indies,field
Kensington Oval,2008-06-20,West Indies,Australia,6,2,West Indies,102,3,97,3,1,0,West Indies,field
National Stadium,2008-04-20,Pakistan,Bangladesh,7,9,Pakistan,203,5,101,10,0,0,Pakistan,bat
Old Trafford,2009-08-30,England,Australia,3,2,,4,2,145,4,0,0,England,field
New Wanderers Stadium,2008-11-05,South Africa,Bangladesh,4,9,South Africa,118,7,109,8,0,0,Bangladesh,field
New Wanderers Stadium,2009-03-27,South Africa,Australia,4,2,South Africa,168,6,166,7,0,0,South Africa,field
SuperSport Park,2009-03-29,South Africa,Australia,4,2,South Africa,156,5,139,8,0,0,Australia,field
Melbourne Cricket Ground,2009-01-11,Australia,South Africa,2,4,Australia,182,9,130,10,0,0,Australia,bat
Brisbane Cricket Ground,2009-01-13,Australia,South Africa,2,4,Australia,161,4,157,5,0,0,South Africa,bat
Sydney Cricket Ground,2009-02-15,Australia,New Zealand,2,5,Australia,150,7,149,5,0,0,Australia,bat
Queen's Park Oval,2009-03-15,West Indies,England,6,3,West Indies,123,4,121,10,1,0,West Indies,field
Lord's,2009-06-05,England,Netherlands,3,15,Netherlands,162,5,163,6,0,0,Netherlands,field
Kennington Oval,2009-06-06,New Zealand,Scotland,5,13,New Zealand,90,3,89,4,0,0,New Zealand,field
Kennington Oval,2009-06-06,Australia,West Indies,2,6,West Indies,169,7,172,3,0,1,Australia,bat
Trent Bridge,2009-06-06,Bangladesh,India,9,1,India,155,8,180,5,0,0,India,bat
Kennington Oval,2009-06-07,Scotland,South Africa,13,4,South Africa,81,10,211,5,0,0,Scotland,field
Kennington Oval,2009-06-07,England,Pakistan,3,7,England,185,5,137,7,0,0,Pakistan,field
Trent Bridge,2009-06-08,Bangladesh,Ireland,9,11,Ireland,137,8,138,4,0,0,Ireland,field
Trent Bridge,2009-06-08,Australia,Sri Lanka,2,8,Sri Lanka,159,9,160,4,0,0,Sri Lanka,field
Lord's,2009-06-09,Netherlands,Pakistan,15,7,Pakistan,93,10,175,5,0,0,Pakistan,bat
Lord's,2009-06-09,New Zealand,South Africa,5,4,South Africa,127,5,128,7,0,0,New Zealand,field
Trent Bridge,2009-06-10,India,Ireland,1,11,India,113,2,112,8,0,0,India,field
Trent Bridge,2009-06-10,Sri Lanka,West Indies,8,6,Sri Lanka,192,5,177,5,0,1,West Indies,field
Trent Bridge,2009-06-11,Ireland,New Zealand,11,5,New Zealand,115,10,198,5,0,0,Ireland,field
Trent Bridge,2009-06-11,England,South Africa,3,4,South Africa,111,10,114,3,0,0,England,bat
Lord's,2009-06-12,Pakistan,Sri Lanka,7,8,Sri Lanka,131,9,150,7,0,0,Sri Lanka,bat
Lord's,2009-06-12,India,West Indies,1,6,West Indies,153,7,156,3,0,1,India,bat
Kennington Oval,2009-06-13,South Africa,West Indies,4,6,South Africa,183,7,163,9,0,1,West Indies,field
Kennington Oval,2009-06-13,New Zealand,Pakistan,5,7,Pakistan,99,10,100,4,0,0,New Zealand,bat
Lord's,2009-06-14,Ireland,Sri Lanka,11,8,Sri Lanka,135,7,144,9,0,0,Sri Lanka,bat
Lord's,2009-06-14,England,India,3,1,England,153,7,150,5,0,0,India,field
Kennington Oval,2009-06-15,England,West Indies,3,6,West Indies,161,6,82,5,0,1,England,bat
Kennington Oval,2009-06-15,Ireland,Pakistan,11,7,Pakistan,120,9,159,5,0,0,Pakistan,bat
Trent Bridge,2009-06-16,New Zealand,Sri Lanka,5,8,Sri Lanka,110,10,158,5,0,0,Sri Lanka,bat
Trent Bridge,2009-06-16,India,South Africa,1,4,South Africa,118,8,130,5,0,0,South Africa,bat
Trent Bridge,2009-06-18,Pakistan,South Africa,7,4,Pakistan,149,4,142,5,0,0,Pakistan,bat
Kennington Oval,2009-06-19,Sri Lanka,West Indies,8,6,Sri Lanka,158,5,101,10,0,1,West Indies,field
Lord's,2009-06-21,Pakistan,Sri Lanka,7,8,Pakistan,139,2,138,6,0,0,Sri Lanka,bat
Civil Service Cricket Club,2008-08-04,Netherlands,Scotland,15,13,Netherlands,110,5,107,8,0,0,Netherlands,field
Maple Leaf North-West Ground,2008-10-11,Pakistan,Sri Lanka,7,8,Pakistan,141,7,137,9,0,0,Pakistan,field
Maple Leaf North-West Ground,2008-10-13,Pakistan,Sri Lanka,7,8,Sri Lanka,132,7,133,5,0,0,Sri Lanka,field
Westpac Stadium,2009-02-27,New Zealand,India,5,1,New Zealand,150,5,149,6,0,0,New Zealand,field
Eden Park,2008-12-26,New Zealand,West Indies,5,6,,170,9,180,9,0,1,New Zealand,bat
Seddon Park,2008-12-28,New Zealand,West Indies,5,6,New Zealand,191,9,155,7,0,1,New Zealand,bat
AMI Stadium,2009-02-25,New Zealand,India,5,1,New Zealand,166,3,162,8,0,0,New Zealand,field
R Premadasa Stadium,2009-02-10,Sri Lanka,India,8,1,India,171,4,174,7,0,0,Sri Lanka,bat
New Wanderers Stadium,2009-11-13,South Africa,England,4,3,England,127,3,202,6,0,0,South Africa,field
SuperSport Park,2009-11-15,South Africa,England,4,3,South Africa,241,6,157,8,0,0,South Africa,bat
Dubai International Cricket Stadium,2009-05-07,Australia,Pakistan,2,7,Pakistan,108,10,109,3,0,0,Pakistan,field
Warner Park,2009-08-02,West Indies,Bangladesh,6,9,West Indies,119,5,118,9,1,0,Bangladesh,bat
R Premadasa Stadium,2009-08-12,Sri Lanka,Pakistan,8,7,Pakistan,120,10,172,5,0,0,Pakistan,bat
R Premadasa Stadium,2009-09-02,Sri Lanka,New Zealand,8,5,New Zealand,138,9,141,8,0,0,New Zealand,bat
R Premadasa Stadium,2009-09-04,Sri Lanka,New Zealand,8,5,New Zealand,148,8,170,4,0,0,New Zealand,bat
Bellerive Oval,2010-02-21,Australia,West Indies,2,6,Australia,179,8,141,8,0,1,Australia,bat
Sydney Cricket Ground,2010-02-23,Australia,West Indies,2,6,Australia,142,2,138,7,0,1,West Indies,bat
Melbourne Cricket Ground,2010-02-05,Australia,Pakistan,2,7,Australia,127,10,125,9,0,0,Australia,bat
Providence Stadium,2010-04-30,West Indies,Ireland,6,11,West Indies,138,9,68,10,1,0,West Indies,bat
Providence Stadium,2010-04-30,New Zealand,Sri Lanka,5,8,New Zealand,139,8,135,6,0,0,Sri Lanka,bat
Beausejour Stadium,2010-05-01,Afghanistan,India,10,1,India,115,8,116,3,0,0,India,field
Beausejour Stadium,2010-05-01,Bangladesh,Pakistan,9,7,Pakistan,151,7,172,3,0,0,Pakistan,bat
Providence Stadium,2010-05-04,England,Ireland,3,11,,120,8,14,1,0,0,Ireland,field
Beausejour Stadium,2010-05-02,India,South Africa,1,4,India,186,5,172,5,0,0,South Africa,field
Beausejour Stadium,2010-05-02,Australia,Pakistan,2,7,Australia,191,10,157,10,0,0,Australia,bat
Providence Stadium,2010-05-03,West Indies,England,6,3,West Indies,60,2,191,5,1,0,West Indies,field
Kensington Oval,2010-05-05,Afghanistan,South Africa,10,4,South Africa,80,10,139,7,0,0,Afghanistan,field
Kensington Oval,2010-05-05,Australia,Bangladesh,2,9,Australia,141,7,114,10,0,0,Australia,bat
Kensington Oval,2010-05-06,England,Pakistan,3,7,England,151,4,147,9,0,0,England,field
Kensington Oval,2010-05-06,New Zealand,South Africa,5,4,South Africa,157,7,170,4,0,0,South Africa,bat
Kensington Oval,2010-05-07,Australia,India,2,1,Australia,184,5,135,10,0,0,India,field
Kensington Oval,2010-05-07,West Indies,Sri Lanka,6,8,Sri Lanka,138,8,195,3,1,0,Sri Lanka,bat
Kensington Oval,2010-05-08,New Zealand,Pakistan,5,7,New Zealand,133,7,132,7,0,0,Pakistan,field
Kensington Oval,2010-05-08,England,South Africa,3,4,England,168,7,129,10,0,0,England,bat
Kensington Oval,2010-05-09,West Indies,India,6,1,West Indies,169,6,155,9,1,0,India,field
Kensington Oval,2010-05-09,Australia,Sri Lanka,2,8,Australia,168,5,87,10,0,0,Australia,bat
Beausejour Stadium,2010-05-10,Pakistan,South Africa,7,4,Pakistan,148,7,137,7,0,0,Pakistan,bat
Beausejour Stadium,2010-05-10,England,New Zealand,3,5,England,153,7,149,6,0,0,New Zealand,bat
Beausejour Stadium,2010-05-11,India,Sri Lanka,1,8,Sri Lanka,163,5,167,5,0,0,India,bat
Beausejour Stadium,2010-05-11,West Indies,Australia,6,2,Australia,105,10,109,4,1,0,West Indies,bat
Beausejour Stadium,2010-05-13,England,Sri Lanka,3,8,England,132,3,128,6,0,0,Sri Lanka,bat
Beausejour Stadium,2010-05-14,Australia,Pakistan,2,7,Australia,197,7,191,6,0,0,Australia,field
Kensington Oval,2010-05-16,Australia,England,2,3,England,147,6,148,3,0,0,England,field
Seddon Park,2010-02-03,New Zealand,Bangladesh,5,9,New Zealand,79,0,78,10,0,0,Bangladesh,bat
Westpac Stadium,2010-02-26,New Zealand,Australia,5,2,Australia,118,10,119,4,0,0,New Zealand,bat
AMI Stadium,2010-02-28,New Zealand,Australia,5,2,,223,6,220,5,0,0,New Zealand,bat
Edgbaston,2010-07-05,Australia,Pakistan,2,7,Pakistan,144,10,167,8,0,0,Pakistan,bat
Edgbaston,2010-07-06,Australia,Pakistan,2,7,Pakistan,151,10,162,9,0,0,Pakistan,bat
Sophia Gardens,2010-09-05,England,Pakistan,3,7,England,129,5,126,4,0,0,England,field
Sophia Gardens,2010-09-07,England,Pakistan,3,7,England,90,4,89,10,0,0,Pakistan,bat
Dubai International Cricket Stadium,2009-11-12,New Zealand,Pakistan,5,7,Pakistan,112,9,161,8,0,0,New Zealand,field
Dubai International Cricket Stadium,2009-11-13,New Zealand,Pakistan,5,7,Pakistan,146,5,153,5,0,0,Pakistan,bat
Vidarbha Cricket Association Stadium,2009-12-09,India,Sri Lanka,1,8,Sri Lanka,186,9,215,5,0,0,India,field
Punjab Cricket Association Stadium,2009-12-12,India,Sri Lanka,1,8,India,211,4,206,7,0,0,Sri Lanka,bat
